n_F35,n_V22,n_AV8B,n_SH60,perc,w_fuel,w_veh
0,0,0,36,-0.415004081,1195.101414,289.8
0,0,0,37,-0.317466077,1228.298676,297.85
0,0,0,38,-0.219928072,1261.495937,305.9
0,0,0,39,-0.122390068,1294.693199,313.95
0,0,0,40,-0.024852063,1327.89046,322
0,0,0,41,0.072685941,1361.087722,330.05
0,0,0,42,0.170223946,1394.284983,338.1
0,0,0,43,0.26776195,1427.482245,346.15
0,0,0,44,0.365299955,1460.679506,354.2
0,0,0,45,0.462837959,1493.876768,362.25
0,0,1,32,-0.494396279,1186.987724,264.34
0,0,1,33,-0.396858274,1220.184986,272.39
0,0,1,34,-0.29932027,1253.382247,280.44
0,0,1,35,-0.201782265,1286.579509,288.49
0,0,1,36,-0.104244261,1319.77677,296.54
0,0,1,37,-0.006706256,1352.974032,304.59
0,0,1,38,0.090831748,1386.171293,312.64
0,0,1,39,0.188369753,1419.368555,320.69
0,0,1,40,0.285907757,1452.565816,328.74
0,0,1,41,0.383445762,1485.763078,336.79
0,0,1,42,0.480983766,1518.960339,344.84
0,0,2,29,-0.476250472,1212.071296,246.93
0,0,2,30,-0.378712467,1245.268557,254.98
0,0,2,31,-0.281174463,1278.465819,263.03
0,0,2,32,-0.183636458,1311.66308,271.08
0,0,2,33,-0.086098454,1344.860342,279.13
0,0,2,34,0.011439551,1378.057603,287.18
0,0,2,35,0.108977555,1411.254865,295.23
0,0,2,36,0.20651556,1444.452126,303.28
0,0,2,37,0.304053564,1477.649388,311.33
0,0,2,38,0.401591569,1510.846649,319.38
0,0,2,39,0.499129573,1544.043911,327.43
0,0,3,26,-0.458104665,1237.154867,229.52
0,0,3,27,-0.36056666,1270.352129,237.57
0,0,3,28,-0.263028656,1303.54939,245.62
0,0,3,29,-0.165490651,1336.746651,253.67
0,0,3,30,-0.067952647,1369.943913,261.72
0,0,3,31,0.029585358,1403.141175,269.77
0,0,3,32,0.127123362,1436.338436,277.82
0,0,3,33,0.224661367,1469.535698,285.87
0,0,3,34,0.322199371,1502.732959,293.92
0,0,3,35,0.419737376,1535.930221,301.97
0,0,4,23,-0.439958858,1262.238439,212.11
0,0,4,24,-0.342420853,1295.4357,220.16
0,0,4,25,-0.244882848,1328.632962,228.21
0,0,4,26,-0.147344844,1361.830223,236.26
0,0,4,27,-0.049806839,1395.027485,244.31
0,0,4,28,0.047731165,1428.224746,252.36
0,0,4,29,0.14526917,1461.422008,260.41
0,0,4,30,0.242807174,1494.619269,268.46
0,0,4,31,0.340345179,1527.816531,276.51
0,0,4,32,0.437883183,1561.013792,284.56
0,0,5,20,-0.42181305,1287.32201,194.7
0,0,5,21,-0.324275046,1320.519272,202.75
0,0,5,22,-0.226737041,1353.716533,210.8
0,0,5,23,-0.129199037,1386.913795,218.85
0,0,5,24,-0.031661032,1420.111056,226.9
0,0,5,25,0.065876972,1453.308318,234.95
0,0,5,26,0.163414977,1486.505579,243
0,0,5,27,0.260952981,1519.70284,251.05
0,0,5,28,0.358490986,1552.900102,259.1
0,0,5,29,0.45602899,1586.097364,267.15
0,0,6,17,-0.403667243,1312.405582,177.29
0,0,6,18,-0.306129239,1345.602843,185.34
0,0,6,19,-0.208591234,1378.800105,193.39
0,0,6,20,-0.11105323,1411.997366,201.44
0,0,6,21,-0.013515225,1445.194628,209.49
0,0,6,22,0.084022779,1478.391889,217.54
0,0,6,23,0.181560784,1511.589151,225.59
0,0,6,24,0.279098788,1544.786412,233.64
0,0,6,25,0.376636793,1577.983674,241.69
0,0,6,26,0.474174797,1611.180935,249.74
0,0,7,13,-0.483059441,1304.291892,151.83
0,0,7,14,-0.385521436,1337.489153,159.88
0,0,7,15,-0.287983432,1370.686414,167.93
0,0,7,16,-0.190445427,1403.883676,175.98
0,0,7,17,-0.092907423,1437.080938,184.03
0,0,7,18,0.004630582,1470.278199,192.08
0,0,7,19,0.102168586,1503.475461,200.13
0,0,7,20,0.199706591,1536.672722,208.18
0,0,7,21,0.297244595,1569.869984,216.23
0,0,7,22,0.3947826,1603.067245,224.28
0,0,7,23,0.492320604,1636.264507,232.33
0,0,8,10,-0.464913634,1329.375463,134.42
0,0,8,11,-0.367375629,1362.572725,142.47
0,0,8,12,-0.269837625,1395.769986,150.52
0,0,8,13,-0.17229962,1428.967248,158.57
0,0,8,14,-0.074761615,1462.164509,166.62
0,0,8,15,0.022776389,1495.361771,174.67
0,0,8,16,0.120314394,1528.559032,182.72
0,0,8,17,0.217852398,1561.756294,190.77
0,0,8,18,0.315390403,1594.953555,198.82
0,0,8,19,0.412928407,1628.150817,206.87
0,0,9,7,-0.446767826,1354.459035,117.01
0,0,9,8,-0.349229822,1387.656296,125.06
0,0,9,9,-0.251691817,1420.853558,133.11
0,0,9,10,-0.154153813,1454.050819,141.16
0,0,9,11,-0.056615808,1487.248081,149.21
0,0,9,12,0.040922196,1520.445342,157.26
0,0,9,13,0.138460201,1553.642604,165.31
0,0,9,14,0.235998205,1586.839865,173.36
0,0,9,15,0.33353621,1620.037127,181.41
0,0,9,16,0.431074214,1653.234388,189.46
0,0,10,4,-0.428622019,1379.542606,99.6
0,0,10,5,-0.331084015,1412.739868,107.65
0,0,10,6,-0.23354601,1445.937129,115.7
0,0,10,7,-0.136008006,1479.134391,123.75
0,0,10,8,-0.038470001,1512.331652,131.8
0,0,10,9,0.059068003,1545.528914,139.85
0,0,10,10,0.156606008,1578.726175,147.9
0,0,10,11,0.254144012,1611.923437,155.95
0,0,10,12,0.351682017,1645.120698,164
0,0,10,13,0.449220021,1678.31796,172.05
0,0,11,1,-0.410476212,1404.626178,82.19
0,0,11,2,-0.312938208,1437.823439,90.24
0,0,11,3,-0.215400203,1471.020701,98.29
0,0,11,4,-0.117862199,1504.217962,106.34
0,0,11,5,-0.020324194,1537.415224,114.39
0,0,11,6,0.07721381,1570.612485,122.44
0,0,11,7,0.174751815,1603.809747,130.49
0,0,11,8,0.272289819,1637.007008,138.54
0,0,11,9,0.369827824,1670.20427,146.59
0,0,11,10,0.467365828,1703.401531,154.64
0,0,12,0,-0.197254396,1496.104272,80.88
0,0,12,1,-0.099716391,1529.301534,88.93
0,0,12,2,-0.002178387,1562.498795,96.98
0,0,12,3,0.095359618,1595.696057,105.03
0,0,12,4,0.192897622,1628.893318,113.08
0,0,12,5,0.290435627,1662.09058,121.13
0,0,12,6,0.387973631,1695.287841,129.18
0,0,12,7,0.485511636,1728.485103,137.23
0,0,13,0,0.113505425,1620.779628,87.62
0,0,13,1,0.211043429,1653.97689,95.67
0,0,13,2,0.308581434,1687.174151,103.72
0,0,13,3,0.406119438,1720.371413,111.77
0,0,14,0,0.424265245,1745.454984,94.36
0,1,0,31,-0.499951383,1184.39856,264.58
0,1,0,32,-0.402413378,1217.595821,272.63
0,1,0,33,-0.304875374,1250.793083,280.68
0,1,0,34,-0.207337369,1283.990344,288.73
0,1,0,35,-0.109799365,1317.187606,296.78
0,1,0,36,-0.01226136,1350.384867,304.83
0,1,0,37,0.085276644,1383.582129,312.88
0,1,0,38,0.182814649,1416.77939,320.93
0,1,0,39,0.280352653,1449.976652,328.98
0,1,0,40,0.377890658,1483.173913,337.03
0,1,0,41,0.475428662,1516.371175,345.08
0,1,1,28,-0.481805576,1209.482131,247.17
0,1,1,29,-0.384267571,1242.679393,255.22
0,1,1,30,-0.286729567,1275.876654,263.27
0,1,1,31,-0.189191562,1309.073916,271.32
0,1,1,32,-0.091653557,1342.271177,279.37
0,1,1,33,0.005884447,1375.468439,287.42
0,1,1,34,0.103422452,1408.6657,295.47
0,1,1,35,0.200960456,1441.862962,303.52
0,1,1,36,0.298498461,1475.060223,311.57
0,1,1,37,0.396036465,1508.257485,319.62
0,1,1,38,0.49357447,1541.454746,327.67
0,1,2,25,-0.463659768,1234.565703,229.76
0,1,2,26,-0.366121764,1267.762964,237.81
0,1,2,27,-0.268583759,1300.960226,245.86
0,1,2,28,-0.171045755,1334.157487,253.91
0,1,2,29,-0.07350775,1367.354749,261.96
0,1,2,30,0.024030254,1400.55201,270.01
0,1,2,31,0.121568259,1433.749271,278.06
0,1,2,32,0.219106263,1466.946533,286.11
0,1,2,33,0.316644268,1500.143795,294.16
0,1,2,34,0.414182272,1533.341056,302.21
0,1,3,22,-0.445513961,1259.649274,212.35
0,1,3,23,-0.347975957,1292.846536,220.4
0,1,3,24,-0.250437952,1326.043797,228.45
0,1,3,25,-0.152899948,1359.241059,236.5
0,1,3,26,-0.055361943,1392.43832,244.55
0,1,3,27,0.042176061,1425.635582,252.6
0,1,3,28,0.139714066,1458.832843,260.65
0,1,3,29,0.23725207,1492.030105,268.7
0,1,3,30,0.334790075,1525.227366,276.75
0,1,3,31,0.432328079,1558.424628,284.8
0,1,4,19,-0.427368154,1284.732846,194.94
0,1,4,20,-0.32983015,1317.930107,202.99
0,1,4,21,-0.232292145,1351.127368,211.04
0,1,4,22,-0.134754141,1384.32463,219.09
0,1,4,23,-0.037216136,1417.521892,227.14
0,1,4,24,0.060321868,1450.719153,235.19
0,1,4,25,0.157859873,1483.916415,243.24
0,1,4,26,0.255397877,1517.113676,251.29
0,1,4,27,0.352935882,1550.310938,259.34
0,1,4,28,0.450473886,1583.508199,267.39
0,1,5,16,-0.409222347,1309.816417,177.53
0,1,5,17,-0.311684343,1343.013679,185.58
0,1,5,18,-0.214146338,1376.21094,193.63
0,1,5,19,-0.116608333,1409.408202,201.68
0,1,5,20,-0.019070329,1442.605463,209.73
0,1,5,21,0.078467676,1475.802725,217.78
0,1,5,22,0.17600568,1508.999986,225.83
0,1,5,23,0.273543685,1542.197248,233.88
0,1,5,24,0.371081689,1575.394509,241.93
0,1,5,25,0.468619694,1608.591771,249.98
0,1,6,12,-0.488614544,1301.702727,152.07
0,1,6,13,-0.39107654,1334.899989,160.12
0,1,6,14,-0.293538535,1368.09725,168.17
0,1,6,15,-0.196000531,1401.294512,176.22
0,1,6,16,-0.098462526,1434.491773,184.27
0,1,6,17,-0.000924522,1467.689035,192.32
0,1,6,18,0.096613483,1500.886296,200.37
0,1,6,19,0.194151487,1534.083558,208.42
0,1,6,20,0.291689492,1567.280819,216.47
0,1,6,21,0.389227496,1600.478081,224.52
0,1,6,22,0.486765501,1633.675342,232.57
0,1,7,9,-0.470468737,1326.786299,134.66
0,1,7,10,-0.372930733,1359.98356,142.71
0,1,7,11,-0.275392728,1393.180821,150.76
0,1,7,12,-0.177854724,1426.378083,158.81
0,1,7,13,-0.080316719,1459.575345,166.86
0,1,7,14,0.017221285,1492.772606,174.91
0,1,7,15,0.11475929,1525.969868,182.96
0,1,7,16,0.212297294,1559.167129,191.01
0,1,7,17,0.309835299,1592.364391,199.06
0,1,7,18,0.407373303,1625.561652,207.11
0,1,8,6,-0.45232293,1351.86987,117.25
0,1,8,7,-0.354784926,1385.067132,125.3
0,1,8,8,-0.257246921,1418.264393,133.35
0,1,8,9,-0.159708917,1451.461655,141.4
0,1,8,10,-0.062170912,1484.658916,149.45
0,1,8,11,0.035367092,1517.856178,157.5
0,1,8,12,0.132905097,1551.053439,165.55
0,1,8,13,0.230443101,1584.250701,173.6
0,1,8,14,0.327981106,1617.447962,181.65
0,1,8,15,0.42551911,1650.645224,189.7
0,1,9,3,-0.434177123,1376.953442,99.84
0,1,9,4,-0.336639119,1410.150703,107.89
0,1,9,5,-0.239101114,1443.347965,115.94
0,1,9,6,-0.14156311,1476.545226,123.99
0,1,9,7,-0.044025105,1509.742488,132.04
0,1,9,8,0.0535129,1542.939749,140.09
0,1,9,9,0.151050904,1576.137011,148.14
0,1,9,10,0.248588909,1609.334272,156.19
0,1,9,11,0.346126913,1642.531534,164.24
0,1,9,12,0.443664918,1675.728795,172.29
0,1,10,0,-0.416031316,1402.037013,82.43
0,1,10,1,-0.318493311,1435.234275,90.48
0,1,10,2,-0.220955307,1468.431536,98.53
0,1,10,3,-0.123417302,1501.628798,106.58
0,1,10,4,-0.025879298,1534.826059,114.63
0,1,10,5,0.071658707,1568.023321,122.68
0,1,10,6,0.169196711,1601.220582,130.73
0,1,10,7,0.266734716,1634.417844,138.78
0,1,10,8,0.36427272,1667.615105,146.83
0,1,10,9,0.461810725,1700.812367,154.88
0,1,11,0,-0.105271495,1526.712369,89.17
0,1,11,1,-0.007733491,1559.909631,97.22
0,1,11,2,0.089804514,1593.106892,105.27
0,1,11,3,0.187342518,1626.304154,113.32
0,1,11,4,0.284880523,1659.501415,121.37
0,1,11,5,0.382418527,1692.698677,129.42
0,1,11,6,0.479956532,1725.895938,137.47
0,1,12,0,0.205488325,1651.387725,95.91
0,1,12,1,0.30302633,1684.584987,103.96
0,1,12,2,0.400564334,1717.782248,112.01
0,1,12,3,0.498102339,1750.97951,120.06
0,2,0,27,-0.487360679,1206.892967,247.41
0,2,0,28,-0.389822675,1240.090228,255.46
0,2,0,29,-0.29228467,1273.28749,263.51
0,2,0,30,-0.194746666,1306.484751,271.56
0,2,0,31,-0.097208661,1339.682013,279.61
0,2,0,32,0.000329343,1372.879274,287.66
0,2,0,33,0.097867348,1406.076536,295.71
0,2,0,34,0.195405352,1439.273797,303.76
0,2,0,35,0.292943357,1472.471059,311.81
0,2,0,36,0.390481361,1505.66832,319.86
0,2,0,37,0.488019366,1538.865582,327.91
0,2,1,24,-0.469214872,1231.976538,230
0,2,1,25,-0.371676868,1265.1738,238.05
0,2,1,26,-0.274138863,1298.371061,246.1
0,2,1,27,-0.176600859,1331.568323,254.15
0,2,1,28,-0.079062854,1364.765584,262.2
0,2,1,29,0.01847515,1397.962846,270.25
0,2,1,30,0.116013155,1431.160107,278.3
0,2,1,31,0.213551159,1464.357369,286.35
0,2,1,32,0.311089164,1497.55463,294.4
0,2,1,33,0.408627168,1530.751892,302.45
0,2,2,21,-0.451069065,1257.06011,212.59
0,2,2,22,-0.353531061,1290.257371,220.64
0,2,2,23,-0.255993056,1323.454633,228.69
0,2,2,24,-0.158455052,1356.651894,236.74
0,2,2,25,-0.060917047,1389.849156,244.79
0,2,2,26,0.036620958,1423.046417,252.84
0,2,2,27,0.134158962,1456.243679,260.89
0,2,2,28,0.231696967,1489.44094,268.94
0,2,2,29,0.329234971,1522.638202,276.99
0,2,2,30,0.426772976,1555.835463,285.04
0,2,3,18,-0.432923258,1282.143681,195.18
0,2,3,19,-0.335385253,1315.340943,203.23
0,2,3,20,-0.237847249,1348.538204,211.28
0,2,3,21,-0.140309244,1381.735466,219.33
0,2,3,22,-0.04277124,1414.932727,227.38
0,2,3,23,0.054766765,1448.129989,235.43
0,2,3,24,0.152304769,1481.32725,243.48
0,2,3,25,0.249842774,1514.524512,251.53
0,2,3,26,0.347380778,1547.721773,259.58
0,2,3,27,0.444918783,1580.919035,267.63
0,2,4,15,-0.414777451,1307.227253,177.77
0,2,4,16,-0.317239446,1340.424514,185.82
0,2,4,17,-0.219701442,1373.621776,193.87
0,2,4,18,-0.122163437,1406.819037,201.92
0,2,4,19,-0.024625433,1440.016299,209.97
0,2,4,20,0.072912572,1473.21356,218.02
0,2,4,21,0.170450576,1506.410821,226.07
0,2,4,22,0.267988581,1539.608083,234.12
0,2,4,23,0.365526585,1572.805345,242.17
0,2,4,24,0.46306459,1606.002606,250.22
0,2,5,11,-0.494169648,1299.113563,152.31
0,2,5,12,-0.396631644,1332.310824,160.36
0,2,5,13,-0.299093639,1365.508086,168.41
0,2,5,14,-0.201555635,1398.705347,176.46
0,2,5,15,-0.10401763,1431.902609,184.51
0,2,5,16,-0.006479626,1465.09987,192.56
0,2,5,17,0.091058379,1498.297132,200.61
0,2,5,18,0.188596383,1531.494393,208.66
0,2,5,19,0.286134388,1564.691655,216.71
0,2,5,20,0.383672392,1597.888916,224.76
0,2,5,21,0.481210397,1631.086178,232.81
0,2,6,8,-0.476023841,1324.197134,134.9
0,2,6,9,-0.378485837,1357.394396,142.95
0,2,6,10,-0.280947832,1390.591657,151
0,2,6,11,-0.183409828,1423.788919,159.05
0,2,6,12,-0.085871823,1456.98618,167.1
0,2,6,13,0.011666182,1490.183442,175.15
0,2,6,14,0.109204186,1523.380703,183.2
0,2,6,15,0.206742191,1556.577965,191.25
0,2,6,16,0.304280195,1589.775226,199.3
0,2,6,17,0.4018182,1622.972488,207.35
0,2,6,18,0.499356204,1656.169749,215.4
0,2,7,5,-0.457878034,1349.280705,117.49
0,2,7,6,-0.360340029,1382.477967,125.54
0,2,7,7,-0.262802025,1415.675229,133.59
0,2,7,8,-0.16526402,1448.87249,141.64
0,2,7,9,-0.067726016,1482.069752,149.69
0,2,7,10,0.029811989,1515.267013,157.74
0,2,7,11,0.127349993,1548.464274,165.79
0,2,7,12,0.224887998,1581.661536,173.84
0,2,7,13,0.322426002,1614.858797,181.89
0,2,7,14,0.419964007,1648.056059,189.94
0,2,8,2,-0.439732227,1374.364277,100.08
0,2,8,3,-0.342194222,1407.561539,108.13
0,2,8,4,-0.244656218,1440.7588,116.18
0,2,8,5,-0.147118213,1473.956062,124.23
0,2,8,6,-0.049580209,1507.153323,132.28
0,2,8,7,0.047957796,1540.350585,140.33
0,2,8,8,0.1454958,1573.547846,148.38
0,2,8,9,0.243033805,1606.745108,156.43
0,2,8,10,0.340571809,1639.942369,164.48
0,2,8,11,0.438109814,1673.139631,172.53
0,2,9,0,-0.324048415,1432.64511,90.72
0,2,9,1,-0.226510411,1465.842372,98.77
0,2,9,2,-0.128972406,1499.039633,106.82
0,2,9,3,-0.031434402,1532.236895,114.87
0,2,9,4,0.066103603,1565.434156,122.92
0,2,9,5,0.163641607,1598.631418,130.97
0,2,9,6,0.261179612,1631.828679,139.02
0,2,9,7,0.358717616,1665.025941,147.07
0,2,9,8,0.456255621,1698.223202,155.12
0,2,10,0,-0.013288595,1557.320466,97.46
0,2,10,1,0.08424941,1590.517728,105.51
0,2,10,2,0.181787415,1623.714989,113.56
0,2,10,3,0.279325419,1656.912251,121.61
0,2,10,4,0.376863424,1690.109512,129.66
0,2,10,5,0.474401428,1723.306774,137.71
0,2,11,0,0.297471226,1681.995822,104.2
0,2,11,1,0.395009231,1715.193084,112.25
0,2,11,2,0.492547235,1748.390345,120.3
0,3,0,23,-0.474769976,1229.387374,230.24
0,3,0,24,-0.377231971,1262.584635,238.29
0,3,0,25,-0.279693967,1295.781897,246.34
0,3,0,26,-0.182155962,1328.979158,254.39
0,3,0,27,-0.084617958,1362.17642,262.44
0,3,0,28,0.012920047,1395.373681,270.49
0,3,0,29,0.110458051,1428.570943,278.54
0,3,0,30,0.207996056,1461.768204,286.59
0,3,0,31,0.30553406,1494.965466,294.64
0,3,0,32,0.403072065,1528.162727,302.69
0,3,1,20,-0.456624169,1254.470945,212.83
0,3,1,21,-0.359086164,1287.668207,220.88
0,3,1,22,-0.26154816,1320.865468,228.93
0,3,1,23,-0.164010155,1354.06273,236.98
0,3,1,24,-0.066472151,1387.259991,245.03
0,3,1,25,0.031065854,1420.457253,253.08
0,3,1,26,0.128603858,1453.654514,261.13
0,3,1,27,0.226141863,1486.851776,269.18
0,3,1,28,0.323679867,1520.049037,277.23
0,3,1,29,0.421217872,1553.246299,285.28
0,3,2,17,-0.438478362,1279.554517,195.42
0,3,2,18,-0.340940357,1312.751778,203.47
0,3,2,19,-0.243402353,1345.94904,211.52
0,3,2,20,-0.145864348,1379.146301,219.57
0,3,2,21,-0.048326344,1412.343563,227.62
0,3,2,22,0.049211661,1445.540824,235.67
0,3,2,23,0.146749665,1478.738086,243.72
0,3,2,24,0.24428767,1511.935347,251.77
0,3,2,25,0.341825674,1545.132609,259.82
0,3,2,26,0.439363679,1578.32987,267.87
0,3,3,14,-0.420332555,1304.638088,178.01
0,3,3,15,-0.32279455,1337.83535,186.06
0,3,3,16,-0.225256546,1371.032611,194.11
0,3,3,17,-0.127718541,1404.229873,202.16
0,3,3,18,-0.030180537,1437.427134,210.21
0,3,3,19,0.067357468,1470.624396,218.26
0,3,3,20,0.164895473,1503.821657,226.31
0,3,3,21,0.262433477,1537.018919,234.36
0,3,3,22,0.359971482,1570.21618,242.41
0,3,3,23,0.457509486,1603.413442,250.46
0,3,4,10,-0.499724752,1296.524398,152.55
0,3,4,11,-0.402186747,1329.72166,160.6
0,3,4,12,-0.304648743,1362.918921,168.65
0,3,4,13,-0.207110738,1396.116183,176.7
0,3,4,14,-0.109572734,1429.313444,184.75
0,3,4,15,-0.012034729,1462.510706,192.8
0,3,4,16,0.085503275,1495.707967,200.85
0,3,4,17,0.18304128,1528.905229,208.9
0,3,4,18,0.280579284,1562.10249,216.95
0,3,4,19,0.378117289,1595.299752,225
0,3,4,20,0.475655293,1628.497013,233.05
0,3,5,7,-0.481578945,1321.60797,135.14
0,3,5,8,-0.38404094,1354.805231,143.19
0,3,5,9,-0.286502936,1388.002493,151.24
0,3,5,10,-0.188964931,1421.199754,159.29
0,3,5,11,-0.091426927,1454.397016,167.34
0,3,5,12,0.006111078,1487.594277,175.39
0,3,5,13,0.103649082,1520.791539,183.44
0,3,5,14,0.201187087,1553.9888,191.49
0,3,5,15,0.298725091,1587.186062,199.54
0,3,5,16,0.396263096,1620.383323,207.59
0,3,5,17,0.4938011,1653.580585,215.64
0,3,6,4,-0.463433138,1346.691541,117.73
0,3,6,5,-0.365895133,1379.888803,125.78
0,3,6,6,-0.268357129,1413.086064,133.83
0,3,6,7,-0.170819124,1446.283326,141.88
0,3,6,8,-0.07328112,1479.480587,149.93
0,3,6,9,0.024256885,1512.677849,157.98
0,3,6,10,0.121794889,1545.87511,166.03
0,3,6,11,0.219332894,1579.072372,174.08
0,3,6,12,0.316870898,1612.269633,182.13
0,3,6,13,0.414408903,1645.466895,190.18
0,3,7,1,-0.445287331,1371.775113,100.32
0,3,7,2,-0.347749326,1404.972374,108.37
0,3,7,3,-0.250211322,1438.169636,116.42
0,3,7,4,-0.152673317,1471.366897,124.47
0,3,7,5,-0.055135313,1504.564159,132.52
0,3,7,6,0.042402692,1537.76142,140.57
0,3,7,7,0.139940697,1570.958682,148.62
0,3,7,8,0.237478701,1604.155943,156.67
0,3,7,9,0.335016706,1637.353205,164.72
0,3,7,10,0.43255471,1670.550466,172.77
0,3,8,0,-0.232065514,1463.253207,99.01
0,3,8,1,-0.13452751,1496.450469,107.06
0,3,8,2,-0.036989505,1529.64773,115.11
0,3,8,3,0.060548499,1562.844992,123.16
0,3,8,4,0.158086504,1596.042253,131.21
0,3,8,5,0.255624508,1629.239515,139.26
0,3,8,6,0.353162513,1662.436776,147.31
0,3,8,7,0.450700517,1695.634038,155.36
0,3,9,0,0.078694306,1587.928563,105.75
0,3,9,1,0.176232311,1621.125825,113.8
0,3,9,2,0.273770315,1654.323086,121.85
0,3,9,3,0.37130832,1687.520348,129.9
0,3,9,4,0.468846324,1720.717609,137.95
0,3,10,0,0.389454127,1712.603919,112.49
0,3,10,1,0.486992131,1745.801181,120.54
0,4,0,19,-0.462179273,1251.881781,213.07
0,4,0,20,-0.364641268,1285.079042,221.12
0,4,0,21,-0.267103264,1318.276304,229.17
0,4,0,22,-0.169565259,1351.473565,237.22
0,4,0,23,-0.072027255,1384.670827,245.27
0,4,0,24,0.02551075,1417.868088,253.32
0,4,0,25,0.123048755,1451.06535,261.37
0,4,0,26,0.220586759,1484.262611,269.42
0,4,0,27,0.318124764,1517.459873,277.47
0,4,0,28,0.415662768,1550.657134,285.52
0,4,1,16,-0.444033465,1276.965352,195.66
0,4,1,17,-0.346495461,1310.162614,203.71
0,4,1,18,-0.248957456,1343.359875,211.76
0,4,1,19,-0.151419452,1376.557137,219.81
0,4,1,20,-0.053881447,1409.754398,227.86
0,4,1,21,0.043656557,1442.95166,235.91
0,4,1,22,0.141194562,1476.148921,243.96
0,4,1,23,0.238732566,1509.346183,252.01
0,4,1,24,0.336270571,1542.543444,260.06
0,4,1,25,0.433808575,1575.740706,268.11
0,4,2,13,-0.425887658,1302.048924,178.25
